번호,수정내용,척도,카테고리,관련교과군
48,현미경으로 관찰하거나 데이터를 해석하는 것을 선호한다.,정,과학군,생명
49,몸 내부의 복잡한 조절 시스템에 대해 배우는 것은 지루하다.,역,과학군,생명
50,일란성 쌍둥이와 이란성 쌍둥이의 차이에 관해 생각해 본적이 있다,정,과학군,생명
51,동물을 관찰하면 동물의 생김새나 행동에 대해 궁금증이 생기고 더 알아보고 싶어진다.,정,과학군,생명
52,"지구 환경 문제(지진, 기후 위기 등) 개선에 기여하는 직업을 갖고 싶다는 생각을 해본적이 있다.",정,과학군,지구
53,생소한 자료를 분석하고 그것을 탐구하여 문제에 적용하는것에 어려움을 느낀다.,역,과학군,지구
54,"다양한 암석의 특징, 공통점과 차이점을 명확히 구분 할 수 있다.",정,과학군,지구
55,"일상생활에서 일어나는 다양한 현상(장마, 산사태 등)의 원인을 자세히 알고 싶다고 생각한 적 있다.",정,과학군,지구
56,천문학적 현상의 형성과 변화 과정을 이해하는 데에 흥미를 느낀다.,정,과학군,지구
57,지각 구조나 기후 변화 같은 현상을 학습할 땐 원인과 결과가 이어지는 흐름을 이해해야 한다고 생각한다.,정,과학군,지구
58,나는 유튜브 알고리즘에 정치인 얼굴이 자주 보인다.,정,사회군,일사
59,"범죄와 관련된 뉴스를 보면, 어떤 법이 적용되어 처벌 되는지 궁금해본 적이 있다.",정,사회군,일사
60,일상생활에서 가격 변화나 소비 선택에 대해 관심을 갖고 생각해본 적이 있다,정,사회군,일사
61,"선택, 효율에 대한 고민을 많이 하는 편이다.",정,사회군,일사
62,내가 속한 집단의 분위기나 문화 같은 건 별로 관심 없다.,역,사회군,일사
63,다양한 이슈를 사회 구조적 관점에서 바라보는 것이 흥미롭게 느껴진다.,정,사회군,일사
64,과거의 사건이나 인물을 탐구하는데 흥미를 느끼는 편이다.,정,사회군,역사
65,다양한 사건들의 인과관계를 연결하는데 관심이 있다.,정,사회군,역사
66,순서를 기준으로 사건이나 정보를 정리하는 게 어렵다.,역,사회군,역사
67,과거의 일을 현재에 대입해보는 상상을 자주 한다.,정,사회군,역사
68,시간이 지나며 삶의 방식이 어떻게 바뀌어 왔는지를 이해하는 것이 재미있다.,정,사회군,역사
69,"전쟁, 혁명 혹은 제도 변화의 과정에 관한 이야기에 대해 관심이 있다.",정,사회군,역사
70,글을 읽을 때 핵심적인 키워드를 잘 뽑아내는 편이다,정,사회군,윤리
71,개인의 구체적 입장을 유추해 내기 어렵다.,역,사회군,윤리
72,"어떻게 인생을 살아야 하나, 죽은 뒤에는 무엇이 있을까 등 평소에 철학적인 고민을 많이 한다.",정,사회군,윤리
73,서로 다른 사상이나 관점을 비교하며 생각하는 과정이 유익하다고 느낀다.,정,사회군,윤리
74,사람들이 왜 특정 선택을 하는지 이유를 따져보는 걸 좋아한다.,정,사회군,윤리
75,사람들 간의 옳고 그름에 대한 토론이 흥미롭다.,정,사회군,윤리
76,통계자료나 그래프를 해석하는 것이 어렵다,역,사회군,지리
77,기후나 지형이 사람들이나 문화에 미치는 영향에 관심이 있다.,정,사회군,지리
78,여러 공간 및 위치의 다양한 특성들을 알아보고 이를 외우는 것이 어렵다.,역,사회군,지리
79,지도나 공간 정보를 보는 것을 좋아하거나 이해하는 것을 잘하는 편이다.,정,사회군,지리
80,과학 및 사회 현상을 그 지역의 특성을 바탕으로 해석하는 것에 흥미를 가진다.,정,사회군,지리
81,"실제 현실에서 일어나는 현상(기상, 지질 운동 등)에 관심이 있다.",정,사회군,지리
